File Name,Rows,Cols,Has ID,Baseline Data,Keywords,Path,Usefulness
AllClinical00.txt,4796,1187,True,True,"Fail, Pain, KOOS, PASE, XR, KL, MRI, Bone, Cyst, Serum, Comp, CTX, HA, Diet, Walk, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical00.txt,17
AllClinical03.txt,4796,779,True,True,"Fail, Pain, KOOS, PASE, XR, KL, MRI, Serum, Bio, Comp, HA, Diet, Walk, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical03.txt,15
AllClinical06.txt,4796,903,True,True,"Fail, Pain, KOOS, PASE, XR, KL, MRI, Serum, Comp, HA, Diet, Walk, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical06.txt,14
AllClinical10.txt,4796,1095,True,True,"Fail, Pain, KOOS, PASE, XR, KL, MRI, Comp, HA, Diet, Walk, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical10.txt,13
AllClinical08.txt,4796,703,True,True,"Fail, KOOS, PASE, XR, KL, MRI, Serum, HA, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical08.txt,10
AllClinical01.txt,4796,575,True,True,"KOOS, PASE, XR, KL, MRI, Serum, Comp, HA, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical01.txt,10
AllClinical05.txt,4796,605,True,True,"KOOS, PASE, XR, KL, MRI, Serum, Comp, HA, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical05.txt,10
AllClinical12.txt,3002,629,True,True,"Fail, KOOS, XR, KL, Steps, NSAID",../data/OAICompleteData_ASCII/AllClinical12.txt,6
kMRI_POMA_TKR_MOAKS_BICL.txt,1339,100,True,False,"BML, Tear, Effusion, Synovitis, Bio",../data/OAICompleteData_ASCII/kMRI_POMA_TKR_MOAKS_BICL.txt,5
ALLCLINICAL14.txt,4478,277,True,False,"Fail, KOOS, PASE, XR, NSAID",../data/OAICompleteData_ASCII/ALLCLINICAL14.txt,5
ALLCLINICAL13.txt,4478,395,True,True,"Fail, KOOS, PASE, XR, NSAID",../data/OAICompleteData_ASCII/ALLCLINICAL13.txt,5
kMRI_POMA_IncOA_MOAKS_BICL.txt,2481,101,True,False,"BML, Tear, Effusion, Synovitis, Bio",../data/OAICompleteData_ASCII/kMRI_POMA_IncOA_MOAKS_BICL.txt,5
AllClinical07.txt,4796,257,True,True,"KOOS, XR, KL, NSAID",../data/OAICompleteData_ASCII/AllClinical07.txt,4
SubjectChar00.txt,4796,125,True,True,"PASE, XR, MRI, HA",../data/OAICompleteData_ASCII/SubjectChar00.txt,4
AllClinical09.txt,4796,259,True,True,"KOOS, XR, KL, NSAID",../data/OAICompleteData_ASCII/AllClinical09.txt,4
OUTCOMES99.txt,4796,96,True,False,"XR, KL, JSN",../data/OAICompleteData_ASCII/OUTCOMES99.txt,3
AllClinical11.txt,4796,195,True,True,"KOOS, XR, NSAID",../data/OAICompleteData_ASCII/AllClinical11.txt,3
XRay10.txt,7788,16,True,True,"XR, Comp",../data/OAICompleteData_ASCII/XRay10.txt,2
Biomarkers06.txt,4796,62,True,True,"XR, Serum",../data/OAICompleteData_ASCII/Biomarkers06.txt,2
kxr_sq_bu01.txt,8483,24,True,True,"XR, KL",../data/OAICompleteData_ASCII/kxr_sq_bu01.txt,2
XRay08.txt,4796,16,True,True,"XR, Comp",../data/OAICompleteData_ASCII/XRay08.txt,2
kxr_sq_bu05.txt,7843,24,True,True,"XR, KL",../data/OAICompleteData_ASCII/kxr_sq_bu05.txt,2
kxr_sq_bu03.txt,7988,24,True,True,"XR, KL",../data/OAICompleteData_ASCII/kxr_sq_bu03.txt,2
KXR_SQ_BU10.txt,6956,24,True,True,"XR, KL",../data/OAICompleteData_ASCII/KXR_SQ_BU10.txt,2
hxr_sq_ucsf00.txt,9412,16,True,True,"JSN, HA",../data/OAICompleteData_ASCII/hxr_sq_ucsf00.txt,2
